ID,Category,Name,Location,Lead_PI,Specialty,Key_Tech,Source_URL,Ingestion_Time
MA_20260131_4C453942,Trial,An Electronic Clinical Decision Support Tool to Reduce Low-value Antipsychotic Prescriptions,"Los Angeles, United States",,Alzheimer Disease; Dementia Alzheimers; Dementia of Alzheimer Type,drug,https://clinicaltrials.gov/study/NCT04851691,2026-01-31T17:02:12.499148Z
MA_20260131_C864A951,Trial,Drug-Drug Interaction of Pyrotinib With a Moderate CYP3A Inducer,"Shanghai, China",,"Healthy Subjects, Drug-drug Interaction, Pyrotinib",drug,https://clinicaltrials.gov/study/NCT04680091,2026-01-31T17:02:12.499181Z
MA_20260131_32023FA4,Trial,"Suberoylanilide Hydroxamic Acid (SAHA), Bevacizumab, Daily Temozolomide for Recurrent Malignant Gliomas","Durham, United States",,Brain Tumor; Glioblastoma,drug,https://clinicaltrials.gov/study/NCT00939991,2026-01-31T17:02:12.499198Z
MA_20260131_F0166D2D,Trial,COMPARISON OF NITROFURANTOIN WITH FOSFOMYCIN in TREATING CYSTITIS IN WOMEN,,,Urinary Tract Infections,drug,https://clinicaltrials.gov/study/NCT06518291,2026-01-31T17:02:12.499212Z
MA_20260131_5AAE1151,Trial,Refining Paracervical Block Techniques for Pain Control in First Trimester Surgical Abortion,"Portland, United States",,Pain,drug,https://clinicaltrials.gov/study/NCT01466491,2026-01-31T17:02:12.499226Z
MA_20260131_AC02E192,Trial,Subcutaneous Olanzapine for Hyperactive or Mixed Delirium,"Houston, United States",,Advanced Cancer,drug,https://clinicaltrials.gov/study/NCT00512291,2026-01-31T17:02:12.499240Z
MA_20260131_F69EF968,Trial,Burden and Outcome of Shoulder Disorders in Primary Health Care,"Jyväskylä, Finland",,Shoulder Pain; Shoulder Mobility Impairment,drug,https://clinicaltrials.gov/study/NCT01300091,2026-01-31T17:02:12.499254Z
MA_20260131_28184A62,Trial,Utilizing EMG Shorts in Hip Population,"Durham, United States",,Hip Injuries,drug,https://clinicaltrials.gov/study/NCT04720274,2026-01-31T17:02:12.499267Z
MA_20260131_8EFEBB67,Trial,A Study to Learn About the Study Medicine (Maplirpacept) in People With Advanced Non-Hodgkin Lymphoma or Multiple Myeloma in China,"Beijing, China",,Non-Hodgkin Lymphoma; Multiple Myeloma,drug,https://clinicaltrials.gov/study/NCT05896774,2026-01-31T17:02:12.499280Z
MA_20260131_0576DB5D,Trial,Self-management Program for Patients in the Sub-acute Phase After Traumatic Injury - a Feasibility Study,"Oslo, Norway",,Self-management; Feasibility Studies; Spinal Cord Injuries,drug,https://clinicaltrials.gov/study/NCT06093074,2026-01-31T17:02:12.499298Z
MA_20260131_3987F000,Trial,"EARLY-COGN^3 - Smart Digital Solutions for EARLY Treatment of COGnitive Disability: a Neuropsychological, Neurophysiological and Neurobiological Perspective in Chronic Neurological Diseases - PNRR-MCNT2-2023-12377069","Brescia, Italy","Maria Cotelli, PhD",Mild Cognitive Impairment (MCI); Subjective Cognitive Complaints (SCCs); Parkinson Disease,drug,https://clinicaltrials.gov/study/NCT06657274,2026-01-31T17:02:12.499320Z
MA_20260131_6D882DB6,Trial,Salusin-alpha - a New Factor in the Pathogenesis of Lipid Abnormalities in Hemodialysis Patients,"Nowy Tomyśl, Poland",,Renal Failure Chronic Requiring Hemodialysis; Metabolic Syndrome; Diabetes Mellitus Type 2,drug,https://clinicaltrials.gov/study/NCT01448174,2026-01-31T17:02:12.499334Z
MA_20260131_44BAE0C2,Trial,GEN1046 in Combination With Anticancer Agents for the Treatment of Advanced Endometrial Cancer,"Orlando, United States",,Advanced Endometrial Cancer,drug,https://clinicaltrials.gov/study/NCT06046274,2026-01-31T17:02:12.499348Z
MA_20260131_00BA8C5F,Trial,European Observational Study of Enzalutamide in Metastatic Castration Resistant Prostate Cancer (mCRPC),"Bregenz, Austria",,Metastatic Castration Resistant Prostate Cancer,drug,https://clinicaltrials.gov/study/NCT02495974,2026-01-31T17:02:12.499362Z
MA_20260131_364E806F,Trial,A Study to Assess the Safety and Immune Response of a Vaccine Against Influenza in Healthy Younger and Older Adults,"Hialeah, United States",,"Influenza, Human",drug,https://clinicaltrials.gov/study/NCT05823974,2026-01-31T17:02:12.499383Z
MA_20260131_8AC9D577,Trial,Minimizing Facial Nerve Stimulation in Cochlear Implants,"Cambridge, United Kingdom",,"Cochlear Hearing Loss; Hearing Loss, Sensorineural; Hearing Loss",BCI,https://clinicaltrials.gov/study/NCT04161261,2026-01-31T17:02:14.861858Z
MA_20260131_F55F909A,Trial,Study of Exercise Training in Hypertrophic Cardiomyopathy,"Stanford, United States",,"Cardiomyopathy, Hypertrophic",BCI,https://clinicaltrials.gov/study/NCT01127061,2026-01-31T17:02:14.861915Z
MA_20260131_04E62CD2,Trial,BMI-Associated Labor Induction: A Prospective Trial,"Springfield, United States","Corina Schoen, MD",Labor Induction,BCI,https://clinicaltrials.gov/study/NCT04035382,2026-01-31T17:02:14.861956Z
MA_20260131_2AF218D2,Trial,earlY Upper Limb Rehabilitation WIth EEG-Neurofeedback After Stroke,"Rennes, France",LOÏC JACOB,"Stroke; Stroke Hemorrhagic; Stroke, Ischemic",BCI,https://clinicaltrials.gov/study/NCT05884762,2026-01-31T17:02:14.861994Z
MA_20260131_DD80028D,Trial,Effect of Personalized Accelerated Pacing in Symptomatic Patients With Non-Obstructive Hypertrophic Cardiomyopathy,"The Bronx, United States","Sandhya Murthy, MD",Non-obstructive Hypertrophic Cardiomyopathy; Hypertrophic Cardiomyopathy,BCI,https://clinicaltrials.gov/study/NCT06775886,2026-01-31T17:02:14.862032Z
MA_20260131_E3BED910,Trial,Deep Brain Stimulation for Refractory Alcoholism,,,Alcoholism,BCI,https://clinicaltrials.gov/study/NCT01798888,2026-01-31T17:02:14.862070Z
MA_20260131_1BF29CB4,Trial,Manipulating and Optimising Brain Rhythms for Enhancement of Sleep,"Oxford, United Kingdom",,Parkinson Disease; MSA - Multiple System Atrophy; Chronic Pain,BCI,https://clinicaltrials.gov/study/NCT05011773,2026-01-31T17:02:14.862107Z
MA_20260131_2EEAC007,Trial,A Randomized Trial of Carotid Artery Stenting With and Without Cerebral Protection,"Pittsburgh, United States",,Carotid Artery Stenosis,BCI,https://clinicaltrials.gov/study/NCT00177346,2026-01-31T17:02:14.862145Z
MA_20260131_896EC2B7,Trial,Closed-loop DBS in Parkinson's Disease,"Beijing, China","Weizhi Pan, B.S.",Parkinson Disease,BCI,https://clinicaltrials.gov/study/NCT06012461,2026-01-31T17:02:14.862182Z
MA_20260131_D72BF563,Trial,An International Registry of the Wingspan™ Stent System for the Treatment of Intracranial Atherosclerotic Stenosis,"Bordeaux, France",,Intracranial Atherosclerosis,BCI,https://clinicaltrials.gov/study/NCT00929383,2026-01-31T17:02:14.862218Z
MA_20260131_6A770381,Trial,Haemoglobin And Vancomycin Pharmacokinetics in the Cerebrospinal Fluid Following Subarachnoid Haemorrhage,,,Subarachnoid Hemorrhage,BCI,https://clinicaltrials.gov/study/NCT06373640,2026-01-31T17:02:14.862255Z
